type	latitude	longitude	altitude (ft)	name	desc	url
T	40.697190000	-77.769390000	1036.0			
T	40.696990000	-77.769300000	1027.9			
T	40.696880000	-77.769140000	1024.3			
T	40.696840000	-77.768770000	1019.8			
T	40.696710000	-77.768180000	1017.0			
T	40.696660000	-77.768050000	1016.2			
T	40.696510000	-77.767950000	1014.9			
T	40.696040000	-77.767690000	1008.6			
T	40.695810000	-77.767510000	1004.7			
T	40.695540000	-77.767370000	1002.3			
T	40.695440000	-77.767370000	999.9			
T	40.695290000	-77.767410000	999.0			
T	40.695360000	-77.767230000	995.9			
T	40.695570000	-77.766260000	989.1			
T	40.695600000	-77.765680000	986.0			
T	40.695590000	-77.765220000	987.6			
T	40.695640000	-77.765050000	989.4			
T	40.695720000	-77.764870000	991.0			
T	40.695800000	-77.764780000	991.0			
T	40.695910000	-77.764550000	992.7			
T	40.695960000	-77.764320000	994.1			
T	40.695970000	-77.764110000	996.5			
T	40.695970000	-77.763930000	997.9			
T	40.695920000	-77.763400000	1000.1			
T	40.695840000	-77.763040000	1000.7			
T	40.695650000	-77.762540000	1002.7			
T	40.695610000	-77.762360000	1002.7			
T	40.695580000	-77.761920000	1004.2			
T	40.695610000	-77.761280000	1007.9			
T	40.695650000	-77.760930000	1008.7			
T	40.695680000	-77.760300000	1010.9			
T	40.695680000	-77.759850000	1011.4			
T	40.695720000	-77.758820000	1012.0			
T	40.695680000	-77.758390000	1011.7			
T	40.695700000	-77.758080000	1012.5			
